"","anon_id","follow_date","follow_score","follow_income","advisor_id","branch_id","baseline_income","client_type","area","in_01","in_02","in_03","in_04","in_05","in_06","in_07","in_08","in_09","in_10","in_11","in_12","in_13","in_14","in_15","in_16","in_17","in_18","in_19","in_20","in_21","in_22","in_23","in_24","in_25","in_26","in_27","in_28","in_29","in_30","in_31","in_32","in_33","in_34","in_35","in_36","in_37","in_38","in_39","in_40","in_41","in_42","in_43","in_44","in_45","in_46","in_47","in_48","in_49","in_50","base_score","base_date","change","improve","remove"
"44",792708,2016-10-18,149,771.4285714,1259,13,114.2857143,"Sorteado","Metropolitan",1,2,3,3,3,3,3,3,3,3,3,3,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,2,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,140,2016-07-13,9,1,0
"45",800554,2016-11-21,150,2083.333333,1436,19,2091.333333,"Sorteado","Urban",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,148,2016-10-06,2,1,0
"46",804405,2016-09-22,118,600,785,5,200,"Sorteado","Rural",1,1,3,3,1,3,1,3,2,2,1,3,1,1,3,1,1,3,3,1,1,1,3,3,3,3,2,3,3,3,1,3,3,3,2,3,3,3,2,1,3,3,3,3,3,1,1,2,3,3,112,2016-06-10,6,1,0
"47",812589,2017-01-02,143,1168.9214,663,7,604.811,"Sorteado","Metropolitan",2,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,0,3,3,3,3,3,1,3,3,3,3,3,3,2,3,3,3,3,139,2016-12-07,4,1,0
"48",822119,2016-11-22,149,1000,1323,7,880,"Sorteado","Metropolitan",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,1,3,0,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,142,2016-10-11,7,1,0
"49",827159,2016-12-20,150,1299.992,1449,20,1225,"Sorteado","Metropolitan",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,149,2016-11-15,1,1,0
"50",828985,2017-05-22,150,1400,1726,20,1400,"Sorteado","Metropolitan",3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,149,2017-04-04,1,1,0
"51",839079,2017-01-05,144,787,973,6,230,"Sorteado","Metropolitan",1,3,3,2,3,3,3,2,3,3,3,3,2,3,2,3,3,3,3,3,3,3,1,2,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,140,2016-04-28,4,1,0
"52",842621,2016-11-29,150,1445.714286,1323,7,1445.714286,"Sorteado","Metropolitan",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,1,3,3,3,3,3,3,3,3,3,2,1,3,3,3,3,143,2016-10-07,7,1,0
"53",852125,2017-05-30,145,1682,973,6,200,"Sorteado","Metropolitan",1,3,3,3,3,3,3,3,3,3,2,3,2,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,143,2017-02-16,2,1,0
"54",859822,2016-08-16,150,1100,988,2,570,"Sorteado","Metropolitan",2,2,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,2,3,3,3,3,2,3,2,3,3,1,3,3,3,3,1,3,3,3,3,3,1,3,3,1,3,133,2016-06-10,17,1,0
"55",864088,2016-06-22,150,1600,1246,19,2200,"Sorteado","Urban",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,0,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,145,2015-08-19,5,1,0
"56",870253,2016-10-28,147,4000,974,6,4000,NA,"Metropolitan",3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,146,2016-10-05,1,1,0
"57",871157,2016-10-25,150,514.2857143,1609,15,857.1428571,"Sorteado","Urban",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,149,2016-10-07,1,1,0
"58",886617,2017-01-05,146,685.7142857,1610,13,385.7142857,"Sorteado","Metropolitan",2,3,3,2,3,3,3,3,3,3,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,2,3,3,144,2016-12-17,2,1,0
"59",896634,2017-01-05,148,3060.0008,1169,17,990,"Sorteado","Urban",3,3,3,2,3,3,3,3,3,3,2,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,146,2016-08-01,2,1,0
"60",912032,2017-05-29,150,1600,1654,9,3500,"Sorteado","Urban",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,146,2017-01-20,4,1,0
"61",912357,2016-04-19,148,625,470,9,425,"Sorteado","Urban",2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,147,2016-01-06,1,1,0
"62",925927,2016-12-28,150,860,1449,20,860,"Sorteado","Metropolitan",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,149,2016-11-15,1,1,0
"63",926061,2016-12-28,128,506.6666667,785,5,350,"Sorteado","Rural",2,2,3,3,1,3,2,3,3,2,2,3,1,1,3,3,3,3,3,2,1,3,3,2,3,1,3,1,1,3,1,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,125,2016-06-02,3,1,0
"64",926390,2016-09-26,144,419.4444444,1086,18,305.5555556,"Sorteado","Rural",2,3,3,1,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,146,2016-01-07,-2,0,0
"65",945691,2016-12-26,150,1060,1636,12,1060,"Sorteado","Urban",3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,145,2016-10-20,5,1,0
"66",946008,2017-05-25,145,433.3333333,1319,18,313.336,"Sorteado","Rural",2,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,147,2017-02-17,-2,0,0
"67",950407,2016-08-18,141,440,590,21,188,"Sorteado","Rural",1,2,3,3,3,3,2,3,3,2,3,3,3,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,1,3,3,3,3,2,3,3,3,3,3,2,3,3,3,3,137,2016-05-25,4,1,0
